sku,name,category,imageUrl,notes,unit,preferredQty,vendor,vendorSku,unitPrice,currency,moq,shippingFlat,shippingPerUnit,leadDays,url,lastChecked
WAFFLE-CONE-200,Waffle Cones 200ct,Packaging,,Serving cones,case,2,Sysco,SY-CONE200,28.00,USD,1,14.00,0,2,,2026-07-01
WAFFLE-CONE-200,Waffle Cones 200ct,Packaging,,Serving cones,case,2,Restaurant Depot,RD-CONE200,24.50,USD,2,0,0,1,,2026-07-10
WAFFLE-CONE-200,Waffle Cones 200ct,Packaging,,Serving cones,case,2,Webstaurant,W-CONE200,26.75,USD,3,18.00,0,5,,2026-07-04
CUP-PAPER-8OZ,Paper Ice Cream Cups 8oz 500ct,Packaging,,Dine-in / takeout cups,case,2,Sysco,SY-CUP8,34.00,USD,1,14.00,0,2,,2026-07-01
CUP-PAPER-8OZ,Paper Ice Cream Cups 8oz 500ct,Packaging,,Dine-in / takeout cups,case,2,Webstaurant,W-CUP8,29.99,USD,2,20.00,0,4,,2026-07-05
CUP-PAPER-8OZ,Paper Ice Cream Cups 8oz 500ct,Packaging,,Dine-in / takeout cups,case,2,Restaurant Depot,RD-CUP8,31.50,USD,2,0,0,1,,2026-07-11
TOP-HOTFUDGE-6,Hot Fudge Topping #10 can 6pk,Toppings,,Sundaes & desserts,case,1,Sysco,SY-FUDGE6,42.00,USD,1,15.00,0,2,,2026-07-01
TOP-HOTFUDGE-6,Hot Fudge Topping #10 can 6pk,Toppings,,Sundaes & desserts,case,1,Restaurant Depot,RD-FUDGE6,38.25,USD,1,0,0,1,,2026-07-09
TOP-HOTFUDGE-6,Hot Fudge Topping #10 can 6pk,Toppings,,Sundaes & desserts,case,1,Gordon Food,GFS-FUDGE6,40.00,USD,1,12.00,0,3,,2026-07-02
TOP-CARAMEL-6,Caramel Topping #10 can 6pk,Toppings,,Sundaes & desserts,case,1,Sysco,SY-CAR6,40.00,USD,1,15.00,0,2,,2026-07-01
TOP-CARAMEL-6,Caramel Topping #10 can 6pk,Toppings,,Sundaes & desserts,case,1,Restaurant Depot,RD-CAR6,36.50,USD,1,0,0,1,,2026-07-09
TOP-SPRINKLE-10,Rainbow Sprinkles 10lb,Toppings,,Cones & cups,pail,1,Sysco,SY-SPR10,38.00,USD,1,12.00,0,2,,2026-07-01
TOP-SPRINKLE-10,Rainbow Sprinkles 10lb,Toppings,,Cones & cups,pail,1,Webstaurant,W-SPR10,33.75,USD,1,16.00,0,4,,2026-07-06
TOP-SPRINKLE-10,Rainbow Sprinkles 10lb,Toppings,,Cones & cups,pail,1,Amazon Business,B0SPR10,35.50,USD,1,0,0,3,,2026-07-12
FRUIT-STRAW-PUREE,Strawberry Puree 6lb,Fruit,,Sorbet / swirl / toppings,pail,2,Sysco,SY-STRP6,24.00,USD,1,14.00,0,2,,2026-07-01
FRUIT-STRAW-PUREE,Strawberry Puree 6lb,Fruit,,Sorbet / swirl / toppings,pail,2,Gordon Food,GFS-STRP6,21.50,USD,2,12.00,0,3,,2026-07-03
FRUIT-STRAW-PUREE,Strawberry Puree 6lb,Fruit,,Sorbet / swirl / toppings,pail,2,Restaurant Depot,RD-STRP6,22.75,USD,2,0,0,1,,2026-07-10
CHEESE-CRM-3LB,Cream Cheese 3lb,Dairy,,Cheesecake & frostings,block,4,Sysco,SY-CC3,12.50,USD,1,12.00,0,2,,2026-07-01
CHEESE-CRM-3LB,Cream Cheese 3lb,Dairy,,Cheesecake & frostings,block,4,Restaurant Depot,RD-CC3,10.80,USD,2,0,0,1,,2026-07-11
CHEESE-CRM-3LB,Cream Cheese 3lb,Dairy,,Cheesecake & frostings,block,4,Gordon Food,GFS-CC3,11.60,USD,2,10.00,0,2,,2026-07-04
FLOUR-AP-50,All-Purpose Flour 50lb,Dry Goods,,Cookies / brownies / crusts,bag,1,Sysco,SY-FL50,22.00,USD,1,18.00,0,2,,2026-07-01
FLOUR-AP-50,All-Purpose Flour 50lb,Dry Goods,,Cookies / brownies / crusts,bag,1,Restaurant Depot,RD-FL50,18.75,USD,1,0,0,1,,2026-07-11
FLOUR-AP-50,All-Purpose Flour 50lb,Dry Goods,,Cookies / brownies / crusts,bag,1,Gordon Food,GFS-FL50,20.40,USD,1,14.00,0,3,,2026-07-02
BUTTER-UNSALT-36,Unsalted Butter 1lb 36ct,Dairy,,Cookies / crusts / sauces,case,1,Sysco,SY-BUT36,78.00,USD,1,15.00,0,2,,2026-07-01
BUTTER-UNSALT-36,Unsalted Butter 1lb 36ct,Dairy,,Cookies / crusts / sauces,case,1,Restaurant Depot,RD-BUT36,69.50,USD,1,0,0,1,,2026-07-10
BUTTER-UNSALT-36,Unsalted Butter 1lb 36ct,Dairy,,Cookies / crusts / sauces,case,1,Gordon Food,GFS-BUT36,74.00,USD,1,12.00,0,3,,2026-07-03
